mu,eps,sigma_mean,Mbar,p_inf,is_synced,escaped_frac
1.9,0.0,0.4017537901385133,0.0,1.0,0,0.0
1.9,0.05,0.4056250692552585,0.0,1.0,0,0.0
1.9,0.1,0.40368741362628796,0.0,1.0,0,0.0
1.9,0.15000000000000002,0.4009519870251211,0.0,1.0,0,0.0
1.9,0.2,0.39551705256924913,0.0,1.0,0,0.0
1.9,0.25,0.3875237826052562,0.0,1.0,0,0.0
1.9,0.30000000000000004,0.37711425692861017,0.0,1.0,0,0.0
1.9,0.35000000000000003,0.366429893554487,0.0,1.0,0,0.0
1.9,0.4,0.34887303239277623,0.0,1.0,0,0.0
1.9,0.45,0.01936053447737345,1.0,1.0,0,0.0
1.9,0.5,4.543984236501534e-17,1.0,1.0,1,0.0
1.9,0.55,4.6569890800794515e-17,1.0,1.0,1,0.0
1.9,0.6000000000000001,4.3011229498647804e-17,1.0,1.0,1,0.0
1.9,0.65,3.9373266551885017e-17,1.0,1.0,1,0.0
1.9,0.7000000000000001,3.5913732305508415e-17,1.0,1.0,1,0.0
1.9,0.75,4.5380366131553274e-17,1.0,1.0,1,0.0
1.9,0.8,3.5259493737425733e-17,1.0,1.0,1,0.0
1.9,0.8500000000000001,3.492246174780738e-17,1.0,1.0,1,0.0
1.9,0.9,3.4793596575306245e-17,1.0,1.0,1,0.0
1.9,0.9500000000000001,3.1869348430088197e-17,1.0,1.0,1,0.0
1.9,1.0,3.355450837817995e-17,1.0,1.0,1,0.0
1.9,1.05,3.101685575046531e-17,1.0,1.0,1,0.0
1.9,1.1,3.0759125405463045e-17,1.0,1.0,1,0.0
1.9,1.1500000000000001,3.1780134079895106e-17,1.0,1.0,1,0.0
1.9,1.2000000000000002,2.7081511636392212e-17,1.0,1.0,1,0.0
1.9,1.25,1.3421803351271982e-17,1.0,1.0,1,0.0
1.9,1.3,2.461324794771664e-17,1.0,1.0,1,0.0
1.9,1.35,2.643718577388654e-17,1.0,1.0,1,0.0
1.9,1.4000000000000001,2.4841240175987878e-17,1.0,1.0,1,0.0
1.9,1.4500000000000002,2.369136632905468e-17,1.0,1.0,1,0.0
1.9,1.5,2.983724378680108e-17,1.0,1.0,1,0.0
1.9,1.55,0.33892113791080186,0.0,0.0,0,0.0
1.9,1.6,0.3460920494170341,9.765625e-06,0.0,0,0.0
1.9,1.6500000000000001,0.35343353440709374,3.487723214285714e-06,0.0,0,0.0
1.9,1.7000000000000002,0.3615224948310497,5.580357142857143e-06,0.0,0,0.0
1.9,1.75,0.3686722109533649,3.208705357142857e-05,0.0,0,0.0
1.9,1.8,0.36901458611187254,3.208705357142857e-05,0.0,0,0.0
1.9,1.85,0.3717093686492462,0.0002308872767857143,0.0,0,0.0
1.9,1.9000000000000001,0.38071704508951654,0.0004596819196428571,0.0,0,0.0
1.9,1.9500000000000002,0.38663075580607903,0.0001025390625,0.0,0,0.0
1.9,2.0,0.3943723977463513,0.00011858258928571428,0.0,0,0.0
